"項目","単位","1985.0","1986.0","1987.0","1988.0","1989.0","1990.0","1991.0","1992.0","1993.0","1994.0","1995.0","1996.0","1997.0","1998.0","1999.0","2000.0","2001.0","2002.0","2003.0","2004.0","2005.0","2006.0","2007.0","2008.0","有効数字(少数桁)"
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ｐ-03 農業物価指数__農産物総合","","","","","","","","","","","","","","","","","","","","","","","","","","100.0"
"Ｐ-03 農業物価指数__米","","","","","","","","","","","","","","","","","","","","","","","","","","100.0"
"Ｐ-03 農業物価指数__麦","","","","","","","","","","","","","","","","","","","","","","","","","","100.0"
"Ｐ-03 農業物価指数__雑穀","","","","","","","","","","","","","","","","","","","","","","","","","","100.0"
"Ｐ-03 農業物価指数__豆","","","","","","","","","","","","","","","","","","","","","","","","","","100.0"
"Ｐ-03 農業物価指数__いも","","","","","","","","","","","","","","","","","","","","","","","","","","100.0"
"Ｐ-03 農業物価指数__工芸農作物","","","","","","","","","","","","","","","","","","","","","","","","","","100.0"
"Ｐ-03 農業物価指数__野菜","","","","","","","","","","","","","","","","","","","","","","","","","","100.0"
"Ｐ-03 農業物価指数__野菜_果菜類","","","","","","","","","","","","","","","","","","","","","","","","","","100.0"
"Ｐ-03 農業物価指数__野菜_葉茎菜類","","","","","","","","","","","","","","","","","","","","","","","","","","100.0"
"Ｐ-03 農業物価指数__野菜_根菜類","","","","","","","","","","","","","","","","","","","","","","","","","","100.0"
"Ｐ-03 農業物価指数__野菜_まめ科野菜","","","","","","","","","","","","","","","","","","","","","","","","","","100.0"
"Ｐ-03 農業物価指数__果実","","","","","","","","","","","","","","","","","","","","","","","","","","100.0"
"Ｐ-03 農業物価指数__花き","","","","","","","","","","","","","","","","","","","","","","","","","","100.0"
"Ｐ-03 農業物価指数__畜産物","","","","","","","","","","","","","","","","","","","","","","","","","","100.0"
"Ｐ-03 農業物価指数__畜産物_鶏卵","","","","","","","","","","","","","","","","","","","","","","","","","","100.0"
"Ｐ-03 農業物価指数__畜産物_生乳","","","","","","","","","","","","","","","","","","","","","","","","","","100.0"
"Ｐ-03 農業物価指数__畜産物_肉畜","","","","","","","","","","","","","","","","","","","","","","","","","","100.0"
"Ｐ-03 農業物価指数__畜産物_子畜","","","","","","","","","","","","","","","","","","","","","","","","","","100.0"
"Ｐ-03 農業物価指数__畜産物_成畜","","","","","","","","","","","","","","","","","","","","","","","","","","100.0"
"Ｐ-03 農業物価指数__稲わら","","","","","","","","","","","","","","","","","","","","","","","","","","100.0"
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ｐ-03 農業物価指数_Ａ．農産物_農産物総合","","","","","","","","","","","","","","","","","","","","","","100.0","102.9","97.6","97.7",""
"Ｐ-03 農業物価指数_Ａ．農産物_米","","","","","","","","","","","","","","","","","","","","","","100.0","97.8","95.0","94.7",""
"Ｐ-03 農業物価指数_Ａ．農産物_米_政府売り","","","","","","","","","","","","","","","","","","","","","","100.0","102.2","58.2","59.1",""
"Ｐ-03 農業物価指数_Ａ．農産物_米_自主流通","","","","","","","","","","","","","","","","","","","","","","100.0","107.4","95.3","90.7",""
"Ｐ-03 農業物価指数_Ａ．農産物_米_計画外流通","","","","","","","","","","","","","","","","","","","","","","100.0","87.5","81.3","73.5",""
"Ｐ-03 農業物価指数_Ａ．農産物_麦","","","","","","","","","","","","","","","","","","","","","","100.0","100.1","83.7","90.6",""
"Ｐ-03 農業物価指数_Ａ．農産物_豆","","","","","","","","","","","","","","","","","","","","","","100.0","95.4","88.1","85.2",""
"Ｐ-03 農業物価指数_Ａ．農産物_いも","","","","","","","","","","","","","","","","","","","","","","100.0","108.2","100.6","104.8",""
"Ｐ-03 農業物価指数_Ａ．農産物_ 野菜","","","","","","","","","","","","","","","","","","","","","","100.0","110.4","105.3","103.5",""
"Ｐ-03 農業物価指数_Ａ．農産物_ 野菜_ 果菜類","","","","","","","","","","","","","","","","","","","","","","100.0","102.5","92.4","99.7",""
"Ｐ-03 農業物価指数_Ａ．農産物_ 野菜_ 葉茎菜類","","","","","","","","","","","","","","","","","","","","","","100.0","115.5","101.7","118.9",""
"Ｐ-03 農業物価指数_Ａ．農産物_ 野菜_ 根菜類","","","","","","","","","","","","","","","","","","","","","","100.0","115.5","119.0","123.0",""
"Ｐ-03 農業物価指数_Ａ．農産物_ 野菜_まめ科野菜","","","","","","","","","","","","","","","","","","","","","","100.0","120.6","110.1","100.8",""
"Ｐ-03 農業物価指数_Ａ．農産物_ 果実","","","","","","","","","","","","","","","","","","","","","","100.0","99.1","100.7","98.6",""
"Ｐ-03 農業物価指数_Ａ．農産物_工芸作物","","","","","","","","","","","","","","","","","","","","","","100.0","99.0","99.5","101.6",""
"Ｐ-03 農業物価指数_Ａ．農産物_花き","","","","","","","","","","","","","","","","","","","","","","100.0","89.5","86.0","100.7",""
"Ｐ-03 農業物価指数_Ａ．農産物_ 畜産物","","","","","","","","","","","","","","","","","","","","","","100.0","97.7","97.2","102.3",""
"Ｐ-03 農業物価指数_Ａ．農産物_ 畜産物_ 鶏卵","","","","","","","","","","","","","","","","","","","","","","100.0","99.2","102.4","106.3",""
"Ｐ-03 農業物価指数_Ａ．農産物_ 畜産物_ 生乳","","","","","","","","","","","","","","","","","","","","","","100.0","105.7","104.4","89.6",""
"Ｐ-03 農業物価指数_Ａ．農産物_ 畜産物_ 肉畜","","","","","","","","","","","","","","","","","","","","","","100.0","98.3","93.5","85.5",""
"Ｐ-03 農業物価指数_Ａ．農産物_ 畜産物_ 子畜","","","","","","","","","","","","","","","","","","","","","","100.0","103.9","101.7","101.7",""
"Ｐ-03 農業物価指数_Ａ．農産物_ 畜産物_ 成畜","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ｐ-03 農業物価指数_Ａ．農産物_わら・わら加工品","","","","","","","","","","","","","","","","105.4","100.0","94.7","95.2","119.1","134.8","106.5","","","",""
